"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2025","30,637.5","30,644.6","30,670.8","30,555.2","","-0.02%"
"07/08/2025","30,643.3","30,614.5","30,746.8","30,532.2","","0.10%"
"07/07/2025","30,611.9","30,836.1","30,876.0","30,555.7","","-0.73%"
"07/04/2025","30,837.4","30,803.3","30,897.6","30,774.3","","0.11%"
"07/03/2025","30,802.0","30,878.0","30,988.6","30,701.2","","-0.25%"
"07/02/2025","30,879.3","30,850.4","30,893.5","30,741.9","","0.09%"
"07/01/2025","30,850.4","30,788.2","30,907.7","30,720.9","","0.20%"
"06/30/2025","30,789.5","30,569.0","30,793.5","30,538.2","","0.67%"
"06/27/2025","30,583.3","30,550.0","30,674.7","30,484.0","","0.07%"
"06/26/2025","30,561.7","30,494.1","30,680.2","30,481.0","","0.22%"
"06/25/2025","30,495.4","30,382.1","30,511.1","30,300.8","","0.37%"
"06/24/2025","30,382.1","30,349.1","30,467.1","30,275.9","","0.11%"
"06/23/2025","30,349.1","29,996.8","30,362.2","29,930.2","","0.81%"
"06/20/2025","30,106.6","30,034.1","30,162.7","30,021.1","","0.24%"
"06/19/2025","30,034.1","29,973.7","30,048.5","29,875.2","","0.22%"
"06/18/2025","29,967.1","29,942.9","30,096.3","29,914.9","","0.08%"
"06/17/2025","29,942.9","30,145.3","30,197.2","29,927.2","","-0.63%"
"06/16/2025","30,132.3","30,064.5","30,270.4","30,044.7","","0.03%"
"06/13/2025","30,123.1","30,156.6","30,242.6","29,957.6","","-0.14%"
"06/12/2025","30,164.5","29,913.7","30,286.8","29,894.2","","0.88%"
"06/11/2025","29,902.0","29,724.5","29,933.2","29,662.6","","0.61%"
"06/10/2025","29,719.3","29,743.1","29,784.8","29,612.5","","-0.09%"
"06/09/2025","29,745.7","29,700.3","29,800.7","29,652.0","","0.19%"
"06/06/2025","29,688.5","29,850.1","29,885.3","29,624.7","","-0.55%"
"06/05/2025","29,851.4","29,781.4","29,974.5","29,744.0","","0.24%"
"06/04/2025","29,781.4","29,628.5","29,828.4","29,598.4","","0.52%"
"06/03/2025","29,627.1","29,779.8","29,817.5","29,607.6","","-0.52%"
"06/02/2025","29,782.4","29,516.2","29,805.8","29,514.9","","0.86%"
"05/30/2025","29,529.2","29,578.7","29,630.8","29,435.6","","-0.22%"
"05/29/2025","29,595.6","29,335.7","29,629.5","29,112.4","","0.91%"
"05/28/2025","29,327.9","29,360.6","29,453.9","29,293.3","","-0.12%"
"05/27/2025","29,361.9","29,509.2","29,600.9","29,345.1","","-0.50%"
"05/26/2025","29,509.2","29,498.0","29,635.8","29,458.6","","0.04%"
"05/23/2025","29,496.7","29,302.8","29,524.0","29,297.6","","0.66%"
"05/22/2025","29,302.8","29,432.6","29,473.1","29,236.6","","-0.43%"
"05/21/2025","29,430.0","29,302.0","29,513.1","29,294.1","","0.44%"
"05/20/2025","29,302.0","29,159.8","29,311.0","29,106.6","","0.44%"
"05/19/2025","29,174.1","28,955.6","29,295.5","28,945.7","","0.82%"
"05/16/2025","28,937.5","29,031.4","29,102.5","28,851.9","","-0.33%"
"05/15/2025","29,032.7","28,982.0","29,127.2","28,962.9","","0.19%"
"05/14/2025","28,976.8","29,037.9","29,217.1","28,949.5","","-0.21%"
"05/13/2025","29,039.2","28,791.5","29,063.9","28,772.5","","0.85%"
"05/12/2025","28,795.3","29,144.0","29,212.3","28,736.9","","-1.46%"
"05/09/2025","29,220.6","29,151.8","29,337.5","29,092.6","","0.24%"
"05/08/2025","29,151.8","29,337.6","29,450.9","29,109.0","","-0.66%"
"05/07/2025","29,346.7","29,519.2","29,541.5","29,316.9","","-0.59%"
"05/06/2025","29,521.8","29,369.6","29,550.4","29,275.9","","0.52%"
